year,quarter,mae,mse,r2
1962,1,0.011562802828848362,0.00016372944810427725,-5.652261257171631
1962,2,0.04175984486937523,0.0017981136916205287,-1.9314029216766357
1962,3,0.04806719720363617,0.002398295095190406,-107.47669982910156
1962,4,0.005997349973767996,4.374785930849612e-05,-0.13479816913604736
1963,1,0.02759524993598461,0.0009498806903138757,-0.81779944896698
1963,2,0.007505163550376892,8.158721175277606e-05,-1.5991482734680176
1963,3,0.03888728842139244,0.0017713230336084962,-1.5358986854553223
1963,4,0.039941515773534775,0.001742349355481565,-6.716982841491699
1964,1,0.016956767067313194,0.00048090514610521495,-19.23728370666504
1964,2,0.007029746659100056,5.82597240281757e-05,0.600911021232605
1964,3,0.060315944254398346,0.005659618880599737,-8.768966674804688
1964,4,0.008829177357256413,0.00011741572961909696,-0.41767358779907227
1965,1,0.045242905616760254,0.002703094156458974,-7.04642391204834
1965,2,0.011958315037190914,0.00029746509972028434,-0.03580665588378906
1965,3,0.0876312404870987,0.00947511661797762,-4.862081527709961
1965,4,0.06520645320415497,0.005444671493023634,-36.13621520996094
1966,1,0.03313840180635452,0.0019538861233741045,-2.6421523094177246
1966,2,0.03591937944293022,0.0014869525330141187,-1.889723777770996
1966,3,0.11557871103286743,0.015904197469353676,-3.874173641204834
1966,4,0.014472231268882751,0.0003477897262200713,-1.0578327178955078
1967,1,0.007394617889076471,6.914484401931986e-05,0.7934442162513733
1967,2,0.021457482129335403,0.000552880868781358,-2.6028010845184326
1967,3,0.01947679929435253,0.0005983069422654808,-1.5403821468353271
1967,4,0.04460199177265167,0.002370193600654602,-13.96474838256836
1968,1,0.04177398607134819,0.002535776002332568,-15.510173797607422
1968,2,0.04233807325363159,0.0023846302647143602,-1.0389750003814697
1968,3,0.023384427651762962,0.0006910968804731965,0.0019831061363220215
1968,4,0.018138360232114792,0.000486837379867211,-1.5021905899047852
1969,1,0.020172758027911186,0.00042441589175723493,-2.522404909133911
1969,2,0.011867912486195564,0.00017201658920384943,0.4478038549423218
1969,3,0.039758920669555664,0.0021816205698996782,-0.0047550201416015625
1969,4,0.02350899763405323,0.0008919459651224315,-1.2131257057189941
1970,1,0.08652924746274948,0.007958720438182354,-19.54059410095215
1970,2,0.052093591541051865,0.0037541144993156195,-4.425625801086426
1970,3,0.046295344829559326,0.002214431995525956,-2.402993679046631
1970,4,0.033046919852495193,0.0014862633543089032,-2.880645275115967
1971,1,0.027788883075118065,0.0012126438086852431,0.2503989338874817
1971,2,0.026937225833535194,0.001063168398104608,-0.8137321472167969
1971,3,0.030629772692918777,0.001115019666031003,-5.117294788360596
1971,4,0.0473305881023407,0.003582490375265479,-21.306087493896484
1972,1,0.03975044935941696,0.002213882515206933,-10.12652587890625
1972,2,0.028667563572525978,0.001032859436236322,-5.204107761383057
1972,3,0.026207873597741127,0.0008159183198586106,-0.1316680908203125
1972,4,0.03742659091949463,0.0016350307269021869,-33.41558074951172
1973,1,0.013812147080898285,0.0002754999150056392,-0.6200143098831177
1973,2,0.041319139301776886,0.002294988604262471,-5.5967631340026855
1973,3,0.06373140215873718,0.004158796276897192,-3.424544334411621
1973,4,0.03414909541606903,0.00150152703281492,-15.004697799682617
1974,1,0.017622938379645348,0.0003341777191963047,0.39392518997192383
1974,2,0.02796342968940735,0.001036452827975154,-24.055322647094727
1974,3,0.029607702046632767,0.0019399488810449839,-0.32241714000701904
1974,4,0.051166027784347534,0.0038181499112397432,-55.23979187011719
1975,1,0.017897341400384903,0.0006105421925894916,-1.2466988563537598
1975,2,0.08799631893634796,0.008193141780793667,-6.7084527015686035
1975,3,0.02513737417757511,0.000849611300509423,0.3407076597213745
1975,4,0.02430552989244461,0.000653072667773813,-21.601346969604492
1976,1,0.015258791856467724,0.00027521306765265763,-2.6570680141448975
1976,2,0.027978653088212013,0.0010144062107428908,0.14751410484313965
1976,3,0.05355587229132652,0.0037454247940331697,-30.407583236694336
1976,4,0.02757333219051361,0.0008665258064866066,-16.855899810791016
1977,1,0.011243848130106926,0.00023603360750712454,-7.3761749267578125
1977,2,0.05445556715130806,0.0038589988835155964,-36.21803665161133
1977,3,0.06806875765323639,0.005585756618529558,-4.781545162200928
1977,4,0.03449138626456261,0.0014545045560225844,-5.30802583694458
1978,1,0.04791095480322838,0.00278840190730989,-12.923911094665527
1978,2,0.12269725650548935,0.017806420102715492,-17.717580795288086
1978,3,0.025112006813287735,0.0006638166960328817,-5.891103267669678
1978,4,0.09390217065811157,0.009441866539418697,-25.640714645385742
1979,1,0.03294293209910393,0.0019358523422852159,-3.378551483154297
1979,2,0.016037477180361748,0.00031092119752429426,-1.5801377296447754
1979,3,0.016083290800452232,0.00040634238393977284,-1.0289616584777832
1979,4,0.03661952167749405,0.001541447127237916,-10.65891170501709
1980,1,0.04657969996333122,0.0026661984156817198,-4.115401744842529
1980,2,0.014460165984928608,0.00032546542934142053,0.1965000033378601
1980,3,0.021817808970808983,0.000930921349208802,-0.0505906343460083
1980,4,0.06136936694383621,0.005125036928802729,-3.260995864868164
1981,1,0.011070598848164082,0.00017004836990963668,-0.11960601806640625
1981,2,0.037710338830947876,0.0020810922142118216,-23.992294311523438
1981,3,0.06565995514392853,0.004732227418571711,-8.02409553527832
1981,4,0.02866656892001629,0.0014082096749916673,-2.5333120822906494
1982,1,0.07350831478834152,0.006737143732607365,-12.219489097595215
1982,2,0.01732175424695015,0.0004357200232334435,-28.821727752685547
1982,3,0.03590528666973114,0.001776616438291967,0.11119681596755981
1982,4,0.029488224536180496,0.0012305434793233871,-1.6130516529083252
1983,1,0.09221532195806503,0.009053679183125496,-30.637052536010742
1983,2,0.017305990681052208,0.00046610875870101154,-0.14718031883239746
1983,3,0.07023677229881287,0.0063067274168133736,-2.899773120880127
1983,4,0.01632530242204666,0.00041410914855077863,0.007970571517944336
1984,1,0.02622639574110508,0.0008730875561013818,-0.9018911123275757
1984,2,0.042792268097400665,0.002878199564293027,-14.695549011230469
1984,3,0.014020147733390331,0.0003237106720916927,-1.3337409496307373
1984,4,0.009792757220566273,0.00014121015556156635,-1.0287694931030273
1985,1,0.029757726937532425,0.0010855412110686302,-4.296915531158447
1985,2,0.03173704817891121,0.0016020666807889938,-8.353057861328125
1985,3,0.02097899280488491,0.0008474220521748066,-2.2186241149902344
1985,4,0.032526783645153046,0.0014470661990344524,-0.4551612138748169
1986,1,0.01761574111878872,0.0005121908034197986,-0.6989138126373291
1986,2,0.04681112989783287,0.0023369973059743643,-15.23255729675293
1986,3,0.045285459607839584,0.0024433480575680733,-7.016883850097656
1986,4,0.022839505225419998,0.0005646568024531007,-1.4461815357208252
1987,1,0.009172673337161541,8.627292118035257e-05,-0.28820550441741943
1987,2,0.012217443436384201,0.00019676970259752125,-7.347314834594727
1987,3,0.010353918187320232,0.0001232139766216278,-5.040262699127197
1987,4,0.030681082978844643,0.001106272335164249,-0.5408802032470703
1988,1,0.03362884745001793,0.0013432145351544023,-23.75689125061035
1988,2,0.04262424260377884,0.002020370913669467,-26.582801818847656
1988,3,0.03979363664984703,0.0018965073395520449,-5.102447986602783
1988,4,0.02024143561720848,0.0006400076090358198,-2.6675448417663574
1989,1,0.0438225194811821,0.002820462454110384,-3.347269058227539
1989,2,0.01764095574617386,0.0004706666513811797,0.4158875346183777
1989,3,0.03177090361714363,0.0012926764320582151,-6.342395782470703
1989,4,0.019693857058882713,0.00047714487300254405,-1.1704003810882568
1990,1,0.06750570237636566,0.005719236563891172,-33.44761657714844
1990,2,0.059317149221897125,0.005232725292444229,-20.980268478393555
1990,3,0.10846713930368423,0.01526430994272232,-15.487861633300781
1990,4,0.018726499751210213,0.0004292725643608719,-4.245621681213379
1991,1,0.009287146851420403,0.00012144583888584748,-0.45461606979370117
1991,2,0.040848370641469955,0.00198747799731791,-1.5229706764221191
1991,3,0.0464751236140728,0.0023032412864267826,-23.72898292541504
1991,4,0.038267139345407486,0.0015914032701402903,-3.471949577331543
1992,1,0.04231446608901024,0.00230276957154274,-9.113334655761719
1992,2,0.05734315142035484,0.004512816201895475,-6.258204460144043
1992,3,0.0344243161380291,0.0014279574388638139,-4.1853742599487305
1992,4,0.010239439085125923,0.00016502603830303997,-0.006068229675292969
1993,1,0.009443442337214947,0.00011351407010806724,-0.19145441055297852
1993,2,0.016977543011307716,0.0004011459241155535,-1.1064786911010742
1993,3,0.005515907891094685,5.6827342632459477e-05,0.16107994318008423
1993,4,0.06676957756280899,0.004705717321485281,-30.612503051757812
1994,1,0.011199325323104858,0.0001406963128829375,0.4863594174385071
1994,2,0.013909834437072277,0.0002607470960356295,-2.39612078666687
1994,3,0.01073922123759985,0.00023831616272218525,-4.6648993492126465
1994,4,0.006758153438568115,4.78044239571318e-05,-2.137235164642334
1995,1,0.08204355090856552,0.007919924333691597,-7.435612678527832
1995,2,0.018188385292887688,0.0003958885499741882,-1.6882998943328857
1995,3,0.010994836688041687,0.0001413950667483732,-1.031496286392212
1995,4,0.03531542792916298,0.0015139833558350801,-0.8823983669281006
1996,1,0.05473518371582031,0.003062905976548791,-42.63461685180664
1996,2,0.06105940416455269,0.003812419017776847,-26.114999771118164
1996,3,0.0072331177070736885,5.9491176216397434e-05,-7.378945350646973
1996,4,0.03795052692294121,0.0016072973376139998,-16.35689353942871
1997,1,0.027791112661361694,0.0014992489013820887,-0.7171573638916016
1997,2,0.033053796738386154,0.001137424260377884,-3.467423439025879
