year,quarter,mae,mse,r2
1962,1,0.0067034754902124405,0.00011684692435665056,-0.5799202919006348
1962,2,0.01757003366947174,0.00044828467071056366,0.17017674446105957
1962,3,0.013223047368228436,0.0002127436309820041,-65.15738677978516
1962,4,0.01704542338848114,0.00030598664307035506,-20.93344497680664
1963,1,0.02296624705195427,0.0007879264885559678,-2.472964286804199
1963,2,0.010937543585896492,0.00015049465582706034,-4.550806045532227
1963,3,0.022406747564673424,0.0005234858253970742,-8.032017707824707
1963,4,0.013570180162787437,0.00037095427978783846,0.008524477481842041
1964,1,0.005279806908220053,5.5428925406886265e-05,-1.4812405109405518
1964,2,0.017715193331241608,0.000316951482091099,-7.777207374572754
1964,3,0.02340729907155037,0.0008889303426258266,-0.10920596122741699
1964,4,0.009252073243260384,0.00012272654566913843,-0.4130873680114746
1965,1,0.011613460257649422,0.0001889508857857436,0.2648657560348511
1965,2,0.01603217050433159,0.0005070888437330723,-0.08450782299041748
1965,3,0.03679206967353821,0.001656007720157504,0.23478710651397705
1965,4,0.019954100251197815,0.00040494557470083237,-36.81714630126953
1966,1,0.018119515851140022,0.0004810746177099645,0.4142054319381714
1966,2,0.010593203827738762,0.0001415315200574696,0.32259297370910645
1966,3,0.09041839838027954,0.009668536484241486,-4.425206661224365
1966,4,0.0296942051500082,0.0010901110945269465,-51.37443542480469
1967,1,0.009963363409042358,0.0002071169437840581,0.5239060521125793
1967,2,0.008298948407173157,7.951713632792234e-05,0.6650438904762268
1967,3,0.044783979654312134,0.0022252071648836136,-13.78769302368164
1967,4,0.01116058137267828,0.00019145020633004606,-0.2630629539489746
1968,1,0.01565912365913391,0.0002761862997431308,-0.3677774667739868
1968,2,0.0466521792113781,0.0028508887626230717,-2.313289165496826
1968,3,0.01842433586716652,0.0007479049963876605,0.23070847988128662
1968,4,0.010172922164201736,0.0001444913650630042,0.3834158778190613
1969,1,0.005079351365566254,2.956618118332699e-05,0.6647211313247681
1969,2,0.012236138805747032,0.00018309440929442644,-0.7285263538360596
1969,3,0.07825266569852829,0.0068568638525903225,-3.6805062294006348
1969,4,0.012329268269240856,0.00040152540896087885,-0.3205806016921997
1970,1,0.03353806585073471,0.0017222543247044086,-3.165163040161133
1970,2,0.03765416145324707,0.0019872814882546663,-0.733507513999939
1970,3,0.025483056902885437,0.0007210609037429094,-1.3457584381103516
1970,4,0.03716983273625374,0.0014665125636383891,-7.675414085388184
1971,1,0.03987985849380493,0.0018398755928501487,-0.23626112937927246
1971,2,0.025305209681391716,0.0012156786397099495,-0.06285333633422852
1971,3,0.0072205266915261745,9.427027544006705e-05,-3.8938331604003906
1971,4,0.013633748516440392,0.000235715473536402,-0.3731778860092163
1972,1,0.02043832093477249,0.00044076464837417006,-5.922552585601807
1972,2,0.013274483382701874,0.000330554525135085,-1.3871872425079346
1972,3,0.02628205344080925,0.0010230753105133772,-0.5720664262771606
1972,4,0.022960087284445763,0.0005346318939700723,-inf
1973,1,0.01631131023168564,0.00033016956876963377,-0.7312382459640503
1973,2,0.0201620664447546,0.0010208743624389172,-1.189422369003296
1973,3,0.018832413479685783,0.00037524636718444526,0.7477002739906311
1973,4,0.02792307734489441,0.0011460250243544579,-5.6790595054626465
1974,1,0.01303497888147831,0.0002330536226509139,-0.22760450839996338
1974,2,0.017215274274349213,0.0003198542108293623,-1.3268027305603027
1974,3,0.03466811776161194,0.002451840555295348,0.07491260766983032
1974,4,0.01713445968925953,0.0003066427307203412,-3.2845139503479004
1975,1,0.028619762510061264,0.000896626093890518,-7.059455871582031
1975,2,0.07132002711296082,0.005156808532774448,-54.197322845458984
1975,3,0.034425899386405945,0.0014372903387993574,-0.30178916454315186
1975,4,0.0025332446675747633,6.713341917929938e-06,0.7874663472175598
1976,1,0.010121313855051994,0.00015358321252278984,-0.3389887809753418
1976,2,0.07989396154880524,0.00841489713639021,-2.5630078315734863
1976,3,0.026760023087263107,0.0008792848675511777,-6.5389628410339355
1976,4,0.009926091879606247,0.0001293881214223802,-1.8955988883972168
1977,1,0.010207531042397022,0.00015620466729160398,-1.7915284633636475
1977,2,0.015219947323203087,0.00030445121228694916,-1.0354971885681152
1977,3,0.06599267572164536,0.004717397503554821,-10.729109764099121
1977,4,0.007925647310912609,0.00010862416820600629,-1.1649303436279297
1978,1,0.011085143312811852,0.00018012814689427614,-0.21826982498168945
1978,2,0.046481288969516754,0.002632942982017994,-3.7517871856689453
1978,3,0.01426348090171814,0.00024343542463611811,-3.155925750732422
1978,4,0.02792561613023281,0.0009080745512619615,-1.7240731716156006
1979,1,0.021307915449142456,0.0008576622931286693,-1.0284276008605957
1979,2,0.010438002645969391,0.0001165823923656717,-11.725265502929688
1979,3,0.014116397127509117,0.00020440458320081234,-0.6621415615081787
1979,4,0.03481398522853851,0.0012149825925007463,-36.45024871826172
1980,1,0.02918344736099243,0.0008590769721195102,-6.98173713684082
1980,2,0.021132616326212883,0.000577355211135,0.17954808473587036
1980,3,0.03062414936721325,0.0009502351167611778,-16.020265579223633
1980,4,0.08865299075841904,0.008082523010671139,-61.42424392700195
1981,1,0.004614153411239386,3.807769462582655e-05,0.35727250576019287
1981,2,0.01377126481384039,0.00025985989486798644,-3.138833999633789
1981,3,0.043147794902324677,0.001871213666163385,-83.42522430419922
1981,4,0.010138897225260735,0.0001342748146271333,-14.110466003417969
1982,1,0.051792245358228683,0.002867060247808695,-15.758651733398438
1982,2,0.019205410033464432,0.0004922614898532629,-29.346893310546875
1982,3,0.02882310561835766,0.0012151992414146662,0.4756816625595093
1982,4,0.009876295924186707,0.00010818914597621188,0.07290482521057129
1983,1,0.004592624958604574,3.2519801607122645e-05,0.5619577765464783
1983,2,0.01933717355132103,0.0005231801187619567,-3.6783905029296875
1983,3,0.0814901739358902,0.006822185590863228,-22.554210662841797
1983,4,0.009714581072330475,0.00011544358858373016,0.6919207572937012
1984,1,0.020983140915632248,0.0005231535178609192,-0.8025506734848022
1984,2,0.025116605684161186,0.0008291358826681972,-1.7487621307373047
1984,3,0.011486096307635307,0.0001733552635414526,-3.0598387718200684
1984,4,0.013338502496480942,0.00019447010708972812,-15.353050231933594
1985,1,0.026734009385108948,0.000995696522295475,-1.695518970489502
1985,2,0.01807483658194542,0.0003744472051039338,-8.811198234558105
1985,3,0.024214675650000572,0.0005925836157985032,-27.633041381835938
1985,4,0.048180967569351196,0.0036485381424427032,-2.0481350421905518
1986,1,0.016474170610308647,0.00043277506483718753,-0.22569823265075684
1986,2,0.010339676402509212,0.00012537839938886464,-0.44792866706848145
1986,3,0.03913366049528122,0.0016367811476811767,-11.063531875610352
1986,4,0.012275291606783867,0.00021665937674697489,0.3211274743080139
1987,1,0.02461877465248108,0.0007292068330571055,-3.032104015350342
1987,2,0.0027369894087314606,1.6260903066722676e-05,0.4648051857948303
1987,3,0.008381355553865433,8.271616388810799e-05,-4.7733354568481445
1987,4,0.015665549784898758,0.00031472957925871015,-1.1593823432922363
1988,1,0.0043948437087237835,3.351474879309535e-05,0.4626750349998474
1988,2,0.026376672089099884,0.0009165926603600383,-8.403380393981934
1988,3,0.031902387738227844,0.0012770111206918955,-2.402806282043457
1988,4,0.007990418002009392,8.932835044106469e-05,0.5361087322235107
1989,1,0.048711828887462616,0.0024817141238600016,-21.674161911010742
1989,2,0.04221795126795769,0.0024592322297394276,-1.0968947410583496
1989,3,0.005147382616996765,3.641339571913704e-05,-5.571110248565674
1989,4,0.01561105065047741,0.00028917667805217206,0.31838810443878174
1990,1,0.030958037823438644,0.0010251746280118823,-14.285029411315918
1990,2,0.024040324613451958,0.001031497959047556,-2.3651602268218994
1990,3,0.06076110526919365,0.0036974605172872543,-22.860443115234375
1990,4,0.004100058693438768,2.9263726901263e-05,0.282647967338562
1991,1,0.009198474697768688,0.00011526640446390957,0.16936182975769043
1991,2,0.0054905833676457405,3.498493606457487e-05,-2.752902030944824
1991,3,0.004546498414129019,2.8624155675061047e-05,-0.7737593650817871
1991,4,0.014336686581373215,0.00023135908122640103,0.6428948640823364
1992,1,0.003863811492919922,1.96668115677312e-05,-7.5766706466674805
1992,2,0.026165548712015152,0.0007817720761522651,-4.064772129058838
1992,3,0.013559369370341301,0.0001924325479194522,-12.662134170532227
1992,4,0.009871344082057476,0.00016466484521515667,-0.9644498825073242
1993,1,0.010163738392293453,0.0001359964080620557,-2.692047357559204
1993,2,0.013299195095896721,0.00021300339722074568,-1.1412410736083984
1993,3,0.006090519018471241,5.217512807575986e-05,-0.6688554286956787
1993,4,0.012738360092043877,0.0001767836365615949,-2.2753612995147705
1994,1,0.02121083438396454,0.0005927752936258912,-1.4795072078704834
1994,2,0.01226967852562666,0.0002070375339826569,-0.7164236307144165
1994,3,0.008753832429647446,8.698921737959608e-05,-0.6458357572555542
1994,4,0.002594172954559326,8.773647095949855e-06,0.14838498830795288
1995,1,0.03142227977514267,0.0011896155774593353,-5.914405345916748
1995,2,0.01574385166168213,0.00036178436130285263,-0.37705838680267334
1995,3,0.020681282505393028,0.0005017495714128017,-2.8462557792663574
1995,4,0.0037842444144189358,2.0323102944530547e-05,0.06444281339645386
1996,1,0.0034243017435073853,1.4084260328672826e-05,0.8223485350608826
1996,2,0.011497382074594498,0.00016837578732520342,0.3611952066421509
1996,3,0.0172546599060297,0.0003214975295122713,-11.879385948181152
1996,4,0.015029935166239738,0.0003799945116043091,-0.12241613864898682
1997,1,0.015197626315057278,0.0005076670786365867,-0.25753629207611084
1997,2,0.02050338312983513,0.00044180662371218204,-5.8312788009643555
1997,3,0.010737582109868526,0.0001248228654731065,-14.851824760437012
1997,4,0.0025736852549016476,8.35197170090396e-06,0.7434896230697632
1998,1,0.018135568127036095,0.0003843906451947987,-0.3973379135131836
